daily_discussion_date,vader_pos,vader_neu,vader_neg,vader_compound,socialsent_compound,socialsent_neu,socialsent_pos,socialsent_neg,None,Long-term Holder,Bitcoin Skeptic,Bearish,Bullish,num_comments,num_child,num_word
2017-09-14 15,0.109713043478,0.817547826087,0.0640260869565,0.0671513043478,0.0690695652174,0.394139130435,0.335269565217,0.270591304348,0.852173913043,0.0782608695652,0.0,0.0347826086957,0.0347826086957,115,0.713043478261,181.860869565
2017-09-14 16,0.12183908046,0.804632183908,0.0620804597701,0.106116091954,-0.0383057471264,0.417114942529,0.284747126437,0.29816091954,0.827586206897,0.0804597701149,0.0,0.0229885057471,0.0689655172414,87,0.850574712644,144.091954023
2017-09-14 17,0.09805,0.82755,0.0744,0.03494625,-0.0119925,0.3753,0.310725,0.3139375,0.8,0.0875,0.0,0.05,0.0625,80,0.725,125.0625
2017-09-14 18,0.0938181818182,0.842597402597,0.0635584415584,0.106983116883,-0.0166194805195,0.449883116883,0.272662337662,0.277350649351,0.883116883117,0.0519480519481,0.0,0.0,0.0649350649351,77,0.922077922078,123.519480519
2017-09-14 19,0.109372727273,0.783572727273,0.107072727273,-0.02546,-0.0645909090909,0.416181818182,0.286690909091,0.297190909091,0.845454545455,0.127272727273,0.0,0.0,0.0272727272727,110,0.836363636364,137.945454545
2017-09-14 20,0.11075,0.77625,0.09635,0.014835,-0.0391633333333,0.3613,0.29375,0.328316666667,0.766666666667,0.0833333333333,0.0,0.05,0.1,60,0.8,135.983333333
2017-09-14 21,0.083,0.821893617021,0.0951914893617,-0.050170212766,-0.117810638298,0.349957446809,0.290978723404,0.359,0.702127659574,0.106382978723,0.0,0.170212765957,0.0212765957447,47,0.723404255319,177.978723404
2017-09-14 22,0.119882352941,0.780843137255,0.0992745098039,0.0559529411765,-0.0405588235294,0.382215686275,0.309098039216,0.308784313725,0.843137254902,0.0588235294118,0.0,0.0392156862745,0.0588235294118,51,0.862745098039,145.529411765
2017-09-14 23,0.0875079365079,0.835349206349,0.0771746031746,-0.0091619047619,-0.0234603174603,0.381158730159,0.307158730159,0.311682539683,0.825396825397,0.142857142857,0.0,0.031746031746,0.0,63,0.619047619048,142.301587302
2017-09-15 00,0.0910821917808,0.855904109589,0.053,0.0841205479452,0.148178082192,0.374890410959,0.336068493151,0.289,0.808219178082,0.123287671233,0.0,0.027397260274,0.041095890411,73,0.835616438356,149.01369863
2017-09-15 01,0.130953488372,0.809790697674,0.0592325581395,0.0763604651163,0.0604697674419,0.320906976744,0.395093023256,0.284069767442,0.767441860465,0.162790697674,0.0,0.046511627907,0.0232558139535,43,0.604651162791,120.906976744
2017-09-15 02,0.0951754385965,0.847771929825,0.0570526315789,0.0543596491228,-0.0339929824561,0.430561403509,0.295894736842,0.273473684211,0.789473684211,0.0877192982456,0.0,0.122807017544,0.0,57,0.789473684211,107.210526316
2017-09-15 03,0.0891893939394,0.844704545455,0.0661060606061,0.0074696969697,-0.0385128787879,0.415833333333,0.290484848485,0.293659090909,0.878787878788,0.0757575757576,0.0,0.0378787878788,0.00757575757576,132,0.954545454545,161.840909091
2017-09-15 04,0.0995802469136,0.82774691358,0.0726604938272,0.00592098765432,0.00452222222222,0.430283950617,0.295981481481,0.273716049383,0.932098765432,0.0432098765432,0.0,0.0,0.0246913580247,162,0.808641975309,122.648148148
2017-09-15 05,0.095609375,0.8459765625,0.0584140625,0.0856703125,-0.06695234375,0.443140625,0.2770546875,0.279796875,0.8984375,0.0703125,0.0,0.015625,0.015625,128,0.890625,112.9609375
2017-09-15 06,0.13462,0.80002,0.06538,0.165471,0.122978,0.3578,0.34815,0.29402,0.86,0.09,0.01,0.0,0.04,100,0.73,145.3
2017-09-15 07,0.107055214724,0.815644171779,0.0773190184049,0.0481190184049,0.0308981595092,0.336386503067,0.347257668712,0.316398773006,0.742331288344,0.171779141104,0.0,0.0552147239264,0.0306748466258,163,0.674846625767,109.196319018
